UDI,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type_encoded,Product ID_encoded,Failure Type_encoded
4822,303.5,311.9,1405,45.6,10,0,1,3913,1
4823,303.5,311.9,1565,38.9,12,0,1,3914,1
4824,303.5,311.9,1493,38.7,14,0,1,3915,1
4825,303.4,311.8,1499,45.0,16,0,1,3916,1
4826,303.3,311.8,1692,30.6,18,0,1,3917,1
4827,303.4,311.8,2268,15.8,20,0,1,3918,1
4828,303.4,311.8,1438,58.9,22,0,1,3919,1
4829,303.5,311.9,1515,39.2,24,0,1,3920,1
4830,303.4,311.9,1491,38.2,26,0,1,3921,1
4831,303.5,312.0,1756,29.7,28,0,1,3922,1
4832,303.5,312.0,1366,54.5,30,1,1,3923,0
4833,303.5,312.0,1436,45.1,32,0,1,3924,1
4834,303.4,311.9,1377,41.6,34,1,1,3925,0
4835,303.4,311.9,1510,42.2,36,0,2,8427,1
4836,303.4,311.9,1419,50.9,39,0,2,8428,1
4837,303.3,311.8,1315,62.0,42,1,1,3926,0
4838,303.3,311.8,1806,27.7,44,0,0,487,1
4839,303.3,311.8,1649,29.4,49,0,0,488,1
4840,303.4,311.9,1402,50.0,54,0,0,489,1
4841,303.4,311.9,1298,63.9,59,1,1,3927,0
4842,303.3,311.8,1441,44.9,61,0,2,8429,1
4843,303.3,311.8,1489,49.4,64,0,2,8430,1
4844,303.3,311.8,1842,24.5,67,0,1,3928,1
4845,303.4,311.8,1316,50.9,69,1,2,8431,0
4846,303.3,311.8,1583,33.3,72,0,2,8432,1
4847,303.3,311.8,1548,33.5,75,0,2,8433,1
4848,303.4,311.9,1434,44.6,78,0,1,3929,1
4849,303.5,312.0,1397,52.9,80,0,0,490,1
4850,303.5,312.0,1475,42.9,85,0,2,8434,1
4851,303.5,312.0,1441,56.8,88,0,1,3930,1
4852,303.7,312.1,1363,51.8,90,1,1,3931,0
4853,303.7,312.2,1619,34.9,92,0,1,3932,1
4854,303.7,312.2,1487,34.0,94,0,1,3933,1
4855,303.7,312.2,1568,33.8,96,0,1,3934,1
4856,303.7,312.3,1375,46.2,98,0,1,3935,1
4857,303.6,312.3,1698,31.3,100,0,2,8435,1
4858,303.7,312.3,1606,37.4,103,0,1,3936,1
4859,303.7,312.3,1349,51.0,105,0,1,3937,1
4860,303.7,312.4,1535,38.6,107,0,1,3938,1
4861,303.6,312.4,1504,49.5,109,0,2,8436,1
4862,303.5,312.3,1946,21.1,112,0,1,3939,1
4863,303.5,312.1,1326,55.7,114,0,1,3940,1
4864,303.6,312.3,1915,22.3,116,0,2,8437,1
4865,303.6,312.3,1451,43.4,119,0,1,3941,1
4866,303.5,312.3,1624,34.8,121,0,2,8438,1
4867,303.6,312.4,1781,28.7,124,0,1,3942,1
4868,303.6,312.5,1345,54.1,126,0,1,3943,1
4869,303.6,312.4,1418,46.0,128,0,1,3944,1
4870,303.7,312.4,1718,26.5,130,0,1,3945,1
4871,303.7,312.4,1631,28.5,132,0,2,8439,1
4872,303.7,312.4,1513,40.1,135,0,1,3946,1
4873,303.7,312.4,1316,59.3,137,0,1,3947,1
4874,303.7,312.4,1474,38.8,139,0,2,8440,1
4875,303.8,312.5,1619,30.9,142,0,1,3948,1
4876,303.7,312.4,1702,31.2,144,0,1,3949,1
4877,303.7,312.4,1540,37.4,146,0,2,8441,1
4878,303.7,312.4,1546,33.7,149,0,2,8442,1
4879,303.7,312.4,1348,51.0,152,0,1,3950,1
4880,303.7,312.5,1520,35.6,154,0,0,491,1
4881,303.8,312.6,1527,41.9,159,0,2,8443,1
4882,303.8,312.6,1406,47.1,162,0,2,8444,1
4883,303.7,312.5,1462,46.2,165,0,1,3951,1
4884,303.8,312.6,1684,29.3,167,0,2,8445,1
4885,303.8,312.5,1655,28.0,170,0,0,492,1
4886,303.8,312.5,1748,25.1,175,0,0,493,1
4887,303.8,312.5,1372,45.7,180,0,1,3952,1
4888,303.7,312.5,1481,33.3,182,0,1,3953,1
4889,303.7,312.4,1512,39.2,184,0,1,3954,1
4890,303.7,312.5,1632,36.6,186,0,1,3955,1
4891,303.7,312.4,1525,43.9,188,0,1,3956,1
4892,303.7,312.3,1756,26.4,190,0,2,8446,1
4893,303.7,312.3,1922,23.1,193,0,1,3957,1
4894,303.8,312.5,1448,44.3,195,0,2,8447,1
4895,303.8,312.5,1447,46.6,198,0,0,494,1
4896,303.8,312.4,1597,33.4,203,0,2,8448,1
4897,303.7,312.4,1642,32.3,206,0,2,8449,1
4898,303.8,312.5,1525,38.0,209,0,0,495,1
4899,303.6,312.4,1460,53.7,214,0,0,496,1
4900,303.6,312.3,2168,17.7,219,0,1,3958,1
4901,303.6,312.4,1388,41.9,221,0,1,3959,1
4902,303.6,312.3,1630,32.4,223,0,2,8450,1
4903,303.6,312.3,1616,29.3,226,0,1,3960,1
4904,303.6,312.4,2232,16.8,0,0,1,3961,1
4905,303.6,312.4,1480,50.7,2,0,0,497,1
4906,303.6,312.4,1363,53.1,7,0,1,3962,1
4907,303.6,312.4,1436,45.6,9,0,0,498,1
4908,303.6,312.5,1607,33.7,14,0,2,8451,1
4909,303.6,312.5,1459,48.2,17,0,2,8452,1
4910,303.5,312.4,1481,43.7,20,0,1,3963,1
4911,303.5,312.4,1606,31.7,22,0,2,8453,1
4912,303.5,312.3,1681,29.8,25,0,1,3964,1
4913,303.5,312.2,1511,37.1,27,0,1,3965,1
4914,303.5,312.3,1593,35.2,29,0,2,8454,1
4915,303.5,312.3,1532,41.7,32,0,2,8455,1
4916,303.5,312.3,1386,49.0,35,0,0,499,1
4917,303.4,312.3,1769,27.9,40,0,0,500,1
4918,303.4,312.2,1561,38.2,45,0,2,8456,1
4919,303.3,312.2,1457,40.7,48,0,1,3966,1
4920,303.3,312.2,1506,40.0,50,0,1,3967,1
4921,303.4,312.2,1337,69.4,52,1,1,3968,3
4922,303.4,312.3,1287,54.8,54,0,1,3969,1
4923,303.4,312.2,1615,35.7,56,0,2,8457,1
4924,303.4,312.2,1972,23.5,59,0,2,8458,1
4925,303.4,312.3,1522,42.1,62,0,0,501,1
4926,303.4,312.3,1680,30.6,67,0,1,3970,1
4927,303.4,312.3,1502,36.0,69,0,1,3971,1
4928,303.5,312.3,1543,33.3,71,0,2,8459,1
4929,303.5,312.3,1584,35.2,74,0,1,3972,1
4930,303.5,312.4,1340,44.5,76,0,1,3973,1
4931,303.4,312.3,1663,33.9,78,0,1,3974,1
4932,303.3,312.1,1693,30.0,80,0,2,8460,1
4933,303.3,312.1,1418,44.7,83,0,1,3975,1
4934,303.4,312.2,1554,36.8,85,0,0,502,1
4935,303.4,312.2,1580,35.8,90,0,1,3976,1
4936,303.4,312.3,1479,42.8,92,0,1,3977,1
4937,303.5,312.4,1284,70.6,94,1,1,3978,3
4938,303.4,312.3,1540,38.7,96,0,1,3979,1
4939,303.5,312.4,1606,30.1,98,0,2,8461,1
4940,303.6,312.5,1286,62.4,101,0,1,3980,1
4941,303.6,312.6,1502,39.5,103,0,1,3981,1
4942,303.6,312.7,1699,31.5,105,0,2,8462,1
4943,303.5,312.6,1602,34.2,108,0,1,3982,1
4944,303.6,312.6,1436,42.0,110,0,0,503,1
4945,303.6,312.7,1765,27.5,115,0,2,8463,1
4946,303.6,312.7,1418,44.1,118,0,1,3983,1
4947,303.7,312.7,1669,31.7,120,0,2,8464,1
4948,303.7,312.7,1395,53.9,123,0,1,3984,1
4949,303.8,312.7,1500,41.7,125,0,2,8465,1
4950,303.8,312.7,1555,33.4,128,0,2,8466,1
4951,303.8,312.7,1919,20.2,131,0,2,8467,1
4952,303.8,312.7,1596,36.6,134,0,1,3985,1
4953,303.8,312.7,1374,53.6,136,0,2,8468,1
4954,303.7,312.5,1670,26.1,139,0,1,3986,1
4955,303.7,312.6,1702,29.1,141,0,1,3987,1
4956,303.8,312.5,1366,45.1,143,0,2,8469,1
4957,303.8,312.5,2344,15.2,146,0,2,8470,1
4958,303.8,312.6,1768,23.9,149,0,2,8471,1
4959,303.8,312.5,1523,47.0,152,0,1,3988,1
4960,303.8,312.6,1735,25.9,154,0,1,3989,1
4961,303.9,312.7,1339,62.3,156,0,1,3990,1
4962,303.9,312.7,1800,24.3,158,0,1,3991,1
4963,304.0,312.7,1456,51.2,160,0,2,8472,1
4964,303.9,312.7,1789,24.4,163,0,1,3992,1
4965,303.9,312.7,1602,33.9,165,0,1,3993,1
4966,303.8,312.7,1364,49.3,167,0,2,8473,1
4967,303.8,312.6,1793,28.1,170,0,1,3994,1
4968,303.9,312.6,1426,53.4,172,0,1,3995,1
4969,303.9,312.7,1485,43.3,174,0,2,8474,1
4970,303.9,312.7,1528,38.4,177,0,1,3996,1
4971,303.8,312.6,1565,36.0,179,0,1,3997,1
4972,303.8,312.7,1838,27.8,181,0,1,3998,1
4973,303.8,312.6,1811,24.9,183,0,0,504,1
4974,303.8,312.7,1461,38.2,188,0,1,3999,1
4975,303.8,312.7,1414,41.7,190,0,1,4000,1
4976,303.7,312.7,1426,45.5,192,0,1,4001,1
4977,303.7,312.7,1359,56.8,194,1,1,4002,2
4978,303.7,312.7,1540,44.8,196,0,1,4003,1
4979,303.6,312.7,1429,47.7,198,0,1,4004,1
4980,303.7,312.7,1612,36.3,200,0,2,8475,1
4981,303.7,312.8,1685,31.8,203,0,2,8476,1
4982,303.7,312.8,1558,37.7,206,0,2,8477,1
4983,303.7,313.0,1811,24.3,209,0,1,4005,1
4984,303.8,313.1,1869,25.8,211,0,1,4006,1
4985,303.8,313.1,1256,58.7,213,1,1,4007,2
4986,303.8,313.0,1789,23.5,215,0,2,8478,1
4987,303.7,312.9,1502,40.5,0,0,1,4008,1
4988,303.7,313.0,1303,54.4,2,0,2,8479,1
4989,303.8,313.1,2497,13.0,5,1,1,4009,3
4990,303.9,313.2,1499,37.4,7,0,1,4010,1
4991,303.9,313.2,1393,46.5,9,0,1,4011,1
4992,303.9,313.0,1475,41.0,11,0,2,8480,1
4993,303.8,312.9,1573,34.6,14,0,1,4012,1
4994,303.8,312.9,1819,23.7,16,0,1,4013,1
4995,303.5,312.6,1642,29.4,18,0,2,8481,1
4996,303.6,312.6,1540,39.8,21,0,1,4014,1
4997,303.6,312.8,1400,43.2,23,0,2,8482,1
4998,303.6,312.8,2659,11.4,26,1,2,8483,3
4999,303.6,312.8,1825,25.2,29,0,2,8484,1
5000,303.7,312.9,1532,41.3,32,0,2,8485,1
5001,303.7,312.8,1832,23.6,35,0,1,4015,1
5002,303.6,312.7,2174,17.6,37,0,2,8486,1
5003,303.7,312.8,1627,31.7,40,0,1,4016,1
5004,303.7,312.8,1437,51.3,42,0,1,4017,1
5005,303.7,312.8,1364,46.3,44,0,1,4018,1
5006,303.7,312.9,1444,52.7,46,0,2,8487,1
5007,303.7,312.8,1366,47.3,49,0,2,8488,1
5008,303.8,312.9,1442,48.3,52,0,1,4019,1
5009,303.7,312.8,1488,42.8,54,0,0,505,1
5010,303.7,312.8,1523,40.7,59,0,1,4020,1
5011,303.7,312.8,1543,38.3,61,0,1,4021,1
5012,303.7,312.8,1634,33.8,63,0,2,8489,1
5013,303.8,312.9,1815,27.8,66,0,2,8490,1
5014,303.8,312.9,1594,35.2,69,0,2,8491,1
5015,303.8,313.0,1452,38.6,72,0,1,4022,1
5016,303.9,313.0,1759,28.4,74,0,1,4023,1
5017,303.9,313.0,1408,47.5,76,0,1,4024,1
5018,303.9,313.0,1483,45.0,78,0,1,4025,1
5019,303.9,313.0,1620,36.6,80,0,2,8492,1
5020,304.0,313.1,1466,39.5,83,0,2,8493,1
5021,304.1,313.1,1556,36.3,86,0,1,4026,1
5022,304.0,313.0,1350,61.1,88,0,1,4027,1
5023,304.0,313.1,1404,47.1,90,0,1,4028,1
5024,304.0,313.0,1575,34.5,92,0,2,8494,1
5025,303.9,313.1,1639,29.0,95,0,1,4029,1
5026,303.9,313.1,1473,42.8,97,0,2,8495,1
5027,303.9,313.2,1481,40.0,100,0,1,4030,1
5028,304.0,313.3,1294,54.6,102,0,1,4031,1
5029,303.9,313.2,1630,29.3,104,0,2,8496,1
5030,303.9,313.2,1624,39.8,107,0,2,8497,1
5031,303.9,313.1,1437,48.3,110,0,2,8498,1
5032,303.8,313.0,1514,45.0,113,0,2,8499,1
5033,304.0,313.1,1694,31.4,116,0,2,8500,1
5034,304.0,313.1,1564,50.9,119,0,1,4032,1
5035,303.9,313.1,1514,41.1,121,0,2,8501,1
5036,304.0,313.2,1500,40.6,124,0,2,8502,1
5037,304.0,313.2,1615,37.8,127,0,1,4033,1
5038,304.1,313.2,1586,41.1,129,0,2,8503,1
5039,304.1,313.3,1732,28.5,132,0,1,4034,1
5040,304.1,313.3,1689,32.5,134,0,0,506,1
5041,304.1,313.2,1586,34.6,139,0,0,507,1
5042,304.0,313.2,1314,47.1,144,0,1,4035,1
5043,304.1,313.2,1569,35.8,146,0,1,4036,1
5044,304.1,313.2,1468,39.4,148,0,1,4037,1
5045,304.1,313.2,1412,47.5,150,0,1,4038,1
5046,304.1,313.2,1510,46.9,152,0,2,8504,1
5047,304.1,313.2,1410,42.4,155,0,2,8505,1
5048,304.1,313.3,1680,29.3,158,0,2,8506,1
5049,304.0,313.2,1271,68.6,161,1,0,508,3
5050,304.0,313.1,1472,45.5,166,0,0,509,1
5051,304.0,313.0,1701,30.4,171,0,0,510,1
5052,303.9,313.0,1480,39.9,176,0,1,4039,1
5053,303.9,313.0,1433,48.4,178,0,1,4040,1
5054,303.8,312.9,1514,34.3,180,0,1,4041,1
5055,303.8,312.9,1619,35.7,182,0,1,4042,1
5056,303.8,312.9,1378,45.6,184,0,0,511,1
5057,303.9,312.9,1430,53.5,189,0,2,8507,1
5058,303.8,312.9,1367,49.9,192,0,1,4043,1
5059,303.9,312.9,1526,42.5,194,0,1,4044,1
5060,303.9,312.8,1419,47.9,196,0,1,4045,1
5061,304.0,312.8,1542,42.7,198,0,1,4046,1
5062,304.0,312.9,1363,62.5,200,1,1,4047,2
5063,304.0,312.9,1313,53.9,202,0,1,4048,1
5064,304.0,312.9,1495,46.6,0,0,0,512,1
5065,304.0,313.0,1407,42.1,5,0,1,4049,1
5066,304.1,313.0,1566,37.2,7,0,1,4050,1
5067,304.1,313.1,1550,30.9,9,0,1,4051,1
5068,304.2,313.2,1396,50.5,11,0,2,8508,1
5069,304.3,313.3,1540,39.0,14,0,2,8509,1
5070,304.2,313.2,1380,48.7,17,0,2,8510,1
5071,304.2,313.1,1608,31.1,20,0,2,8511,1
5072,304.2,313.0,1442,40.9,23,0,0,513,1
5073,304.1,313.0,1408,45.3,28,0,1,4052,1
5074,304.0,313.0,1454,46.8,30,0,2,8512,1
5075,304.1,313.1,1666,34.6,33,0,1,4053,1
5076,304.1,313.2,1366,46.6,35,0,1,4054,1
5077,304.2,313.2,1464,44.9,37,0,1,4055,1
5078,304.3,313.3,1775,24.9,39,0,1,4056,1
5079,304.3,313.4,1482,43.8,41,0,2,8513,1
5080,304.2,313.4,1411,54.8,44,0,2,8514,1
5081,304.2,313.3,1410,51.6,47,0,1,4057,1
5082,304.1,313.3,1494,39.0,49,0,2,8515,1
5083,304.1,313.2,1590,43.4,52,0,0,514,1
5084,304.1,313.1,1327,54.1,57,0,1,4058,1
5085,304.1,313.1,1969,20.8,59,0,1,4059,1
5086,304.0,313.0,1377,56.0,61,0,2,8516,1
5087,304.0,313.0,1541,45.9,64,0,1,4060,1
5088,304.0,313.0,1685,28.2,66,0,2,8517,1
5089,304.0,313.1,1465,41.0,69,0,1,4061,1
5090,303.9,313.1,1483,47.2,71,0,2,8518,1
5091,303.9,313.2,1570,40.7,74,0,2,8519,1
5092,303.9,313.2,1345,48.2,77,0,1,4062,1
5093,303.9,313.2,1608,40.6,79,0,2,8520,1
5094,304.0,313.3,1415,52.8,82,0,2,8521,1
5095,304.1,313.5,1470,45.8,85,0,2,8522,1
5096,304.1,313.5,1428,39.9,88,0,2,8523,1
5097,304.2,313.5,1627,32.2,91,0,0,515,1
5098,304.2,313.4,1457,49.4,96,0,1,4063,1
5099,304.2,313.4,1475,40.2,98,0,1,4064,1
5100,304.2,313.5,1438,50.1,100,0,1,4065,1
5101,304.2,313.5,1437,47.2,102,0,2,8524,1
5102,304.1,313.4,1518,42.4,105,0,2,8525,1
5103,304.1,313.5,1587,33.6,108,0,2,8526,1
5104,304.1,313.4,1399,43.7,111,0,1,4066,1
5105,304.1,313.5,1469,44.6,113,0,1,4067,1
5106,304.1,313.4,1374,56.6,115,0,1,4068,1
5107,304.0,313.3,1519,36.7,117,0,1,4069,1
5108,303.9,313.2,1540,44.4,119,0,1,4070,1
5109,303.9,313.3,1394,51.6,121,0,1,4071,1
5110,304.0,313.4,1389,45.8,123,0,2,8527,1
5111,304.0,313.5,1732,26.2,126,0,2,8528,1
5112,304.1,313.6,1556,37.4,129,0,1,4072,1
5113,304.1,313.6,1441,43.7,131,0,2,8529,1
5114,304.1,313.6,1382,46.7,134,0,1,4073,1
5115,304.2,313.8,1481,44.9,136,0,2,8530,1
5116,304.2,313.7,2113,18.4,139,0,2,8531,1
5117,304.2,313.8,1401,53.9,142,0,1,4074,1
5118,304.1,313.6,1611,31.4,144,0,1,4075,1
5119,304.2,313.6,1512,33.4,146,0,2,8532,1
5120,304.2,313.6,1411,46.0,149,0,1,4076,1
5121,304.2,313.6,1424,43.7,151,0,2,8533,1
5122,304.2,313.6,1469,40.0,154,0,1,4077,1
5123,304.2,313.5,1684,29.8,156,0,0,516,1
5124,304.2,313.5,1532,41.3,161,0,2,8534,1
5125,304.2,313.5,1557,37.3,164,0,2,8535,1
5126,304.3,313.5,1416,48.1,167,0,2,8536,1
5127,304.3,313.5,1802,25.4,170,0,1,4078,1
5128,304.3,313.5,2245,15.1,172,0,2,8537,1
5129,304.2,313.4,1434,42.5,175,0,1,4079,1
5130,304.1,313.3,1725,28.3,177,0,2,8538,1
5131,304.2,313.3,1668,35.7,180,0,1,4080,1
5132,304.1,313.3,1452,43.9,182,0,1,4081,1
5133,304.1,313.3,1415,50.0,184,0,1,4082,1
5134,304.1,313.2,1824,25.8,186,0,1,4083,1
5135,304.1,313.3,1438,45.5,188,0,1,4084,1
5136,304.1,313.3,1883,24.5,190,0,1,4085,1
5137,304.2,313.4,1735,28.9,192,0,1,4086,1
5138,304.3,313.5,1464,36.7,194,0,1,4087,1
5139,304.3,313.6,1489,40.3,196,0,2,8539,1
5140,304.4,313.6,1510,38.9,199,0,2,8540,1
5141,304.3,313.6,1585,32.1,202,0,2,8541,1
5142,304.4,313.7,1509,35.0,205,1,1,4088,5
5143,304.4,313.6,1568,39.1,0,0,1,4089,1
5144,304.3,313.5,1525,42.0,2,0,2,8542,1
5145,304.4,313.7,1607,33.5,5,0,1,4090,1
5146,304.5,313.7,1670,32.9,7,0,1,4091,1
5147,304.4,313.6,1585,38.9,9,0,1,4092,1
5148,304.4,313.6,1569,38.4,11,0,1,4093,1
5149,304.4,313.6,1507,43.1,13,0,1,4094,1
5150,304.3,313.5,1452,41.5,15,0,1,4095,1
5151,304.3,313.5,1590,29.8,17,0,1,4096,1
5152,304.3,313.6,1409,56.0,19,0,1,4097,1
5153,304.3,313.5,2643,12.7,21,0,1,4098,1
5154,304.2,313.4,1644,31.7,23,0,1,4099,1
5155,304.2,313.4,1568,37.6,25,0,1,4100,1
5156,304.2,313.3,1625,37.3,27,0,0,517,1
5157,304.2,313.4,1482,41.4,32,0,1,4101,1
5158,304.1,313.3,1397,49.6,34,0,0,518,1
5159,304.1,313.3,1459,50.3,39,0,1,4102,1
5160,304.2,313.4,1490,44.0,41,0,1,4103,1
5161,304.1,313.2,1434,50.1,43,0,1,4104,1
5162,304.1,313.2,2028,18.9,45,0,2,8543,1
5163,304.2,313.3,1464,45.9,48,0,1,4105,1
5164,304.2,313.4,1713,23.5,50,0,2,8544,1
5165,304.3,313.4,1624,32.1,53,0,2,8545,1
5166,304.2,313.4,1421,43.4,56,0,1,4106,1
5167,304.2,313.5,1546,41.4,58,0,0,519,1
5168,304.2,313.4,1639,32.7,63,0,1,4107,1
5169,304.1,313.4,1696,29.6,65,0,0,520,1
5170,304.1,313.3,1470,39.9,70,0,1,4108,1
5171,304.1,313.3,1480,38.4,72,0,2,8546,1
5172,304.2,313.4,1329,54.5,75,0,2,8547,1
5173,304.2,313.4,1740,28.2,78,0,1,4109,1
5174,304.2,313.5,1739,28.1,80,0,2,8548,1
5175,304.2,313.5,1390,47.8,83,0,2,8549,1
5176,304.2,313.4,1740,23.7,86,0,1,4110,1
5177,304.0,313.3,1844,27.1,88,0,2,8550,1
5178,304.0,313.1,1388,53.2,91,0,0,521,1
5179,304.0,313.2,1517,43.1,96,0,0,522,1
5180,304.0,313.1,1450,42.8,101,0,2,8551,1
5181,304.0,313.2,1584,38.7,104,0,1,4111,1
5182,304.0,313.1,1720,28.7,106,0,1,4112,1
5183,303.9,313.1,1586,31.9,108,0,1,4113,1
5184,303.9,313.0,1901,22.5,110,0,2,8552,1
5185,304.0,313.0,1397,42.4,113,0,1,4114,1
5186,304.0,313.0,2012,21.1,115,0,1,4115,1
5187,304.0,313.0,2354,15.0,117,0,1,4116,1
5188,304.0,313.1,1648,35.7,119,0,1,4117,1
5189,304.0,313.2,1632,30.6,121,0,1,4118,1
5190,304.1,313.2,1427,46.9,123,0,2,8553,1
5191,304.1,313.2,1452,48.0,126,0,1,4119,1
5192,304.0,313.2,1416,46.0,128,0,1,4120,1
5193,303.9,313.1,1310,62.9,130,0,1,4121,1
5194,304.0,313.1,1408,39.8,132,0,0,523,1
5195,303.9,313.1,1668,34.4,137,0,2,8554,1
5196,303.9,313.0,1551,36.8,140,0,1,4122,1
5197,303.9,313.0,1517,36.0,142,0,0,524,1
5198,303.8,312.9,1570,35.8,147,0,0,525,1
5199,303.8,312.8,1428,53.3,152,0,1,4123,1
5200,303.8,312.8,1503,40.0,154,0,1,4124,1
5201,303.8,312.8,1416,58.7,156,0,1,4125,1
5202,303.7,312.7,1396,47.3,158,0,2,8555,1
5203,303.7,312.7,1335,51.1,161,0,1,4126,1
5204,303.7,312.6,1671,30.5,163,0,2,8556,1
5205,303.7,312.7,1989,22.4,166,0,1,4127,1
5206,303.7,312.7,1468,43.3,168,0,1,4128,1
5207,303.7,312.6,1711,27.6,170,0,0,526,1
5208,303.8,312.7,1488,41.3,175,0,2,8557,1
5209,303.8,312.7,1664,29.3,178,0,1,4129,1
5210,303.8,312.7,1507,38.5,180,0,2,8558,1
5211,303.7,312.6,1466,42.5,183,0,1,4130,1
5212,303.7,312.5,1433,53.6,185,0,1,4131,1
5213,303.7,312.5,1397,45.7,187,0,1,4132,1
5214,303.7,312.6,1429,43.3,189,0,2,8559,1
5215,303.7,312.7,1572,37.2,192,0,1,4133,1
5216,303.7,312.7,1532,42.7,194,0,2,8560,1
5217,303.7,312.7,1316,51.8,197,0,2,8561,1
5218,303.8,312.8,1420,47.9,200,0,2,8562,1
5219,303.8,312.9,1589,37.2,203,0,1,4134,1
5220,303.8,313.0,1365,59.9,205,1,1,4135,2
5221,303.8,313.0,1633,32.9,207,0,1,4136,1
5222,303.9,313.0,1626,31.4,209,0,1,4137,1
5223,303.9,313.1,1665,29.6,0,0,1,4138,1
5224,303.9,313.2,1350,47.2,2,0,2,8563,1
5225,303.9,313.2,1590,31.9,5,0,1,4139,1
5226,304.0,313.2,1437,53.9,7,0,2,8564,1
5227,303.9,313.0,1403,48.3,10,0,1,4140,1
5228,303.9,313.1,1440,41.1,12,0,1,4141,1
5229,303.9,313.1,1343,61.4,14,0,2,8565,1
5230,303.9,313.1,1790,26.7,17,0,0,527,1
5231,303.8,313.1,2117,18.6,22,0,2,8566,1
5232,303.8,313.1,1458,42.2,25,0,1,4142,1
5233,303.6,312.9,1381,57.8,27,0,1,4143,1
5234,303.6,312.9,1450,45.3,29,0,1,4144,1
5235,303.7,312.9,1461,50.1,31,0,1,4145,1
5236,303.7,312.9,1511,41.0,33,0,2,8567,1
5237,303.8,313.1,1394,45.4,36,0,1,4146,1
5238,303.8,313.0,1499,42.3,38,0,1,4147,1
5239,303.7,313.0,1457,44.1,40,0,1,4148,1
5240,303.7,313.0,1753,29.0,42,0,1,4149,1
5241,303.7,313.0,1694,28.0,44,0,1,4150,1
5242,303.7,313.1,1683,28.4,46,0,1,4151,1
5243,303.7,313.1,1496,47.4,48,0,1,4152,1
5244,303.7,313.1,1721,34.8,50,0,1,4153,1
5245,303.6,313.0,1593,31.6,52,0,1,4154,1
5246,303.6,313.0,1575,38.3,54,0,1,4155,1
5247,303.5,313.0,1465,41.0,56,0,1,4156,1
5248,303.6,313.1,1405,38.3,58,0,1,4157,1
5249,303.5,313.0,1902,21.6,60,0,2,8568,1
5250,303.4,312.9,1422,39.9,63,0,2,8569,1
5251,303.5,312.9,1332,52.9,66,0,1,4158,1
5252,303.4,312.9,1307,54.3,68,0,2,8570,1
5253,303.5,313.0,1322,59.5,71,0,1,4159,1
5254,303.5,313.0,1547,40.3,73,0,1,4160,1
5255,303.5,313.1,1897,23.6,75,0,1,4161,1
5256,303.5,313.0,1403,51.9,77,0,2,8571,1
5257,303.5,313.0,1393,51.6,80,0,1,4162,1
5258,303.5,313.0,1482,38.5,82,0,1,4163,1
5259,303.5,312.9,1572,44.7,84,0,2,8572,1
5260,303.5,312.9,1544,36.9,87,0,1,4164,1
5261,303.5,313.0,1492,46.1,89,0,2,8573,1
5262,303.4,312.8,1513,35.8,92,0,1,4165,1
5263,303.4,312.8,1449,43.9,94,0,1,4166,1
5264,303.5,312.8,1877,22.3,96,0,1,4167,1
5265,303.4,312.8,1376,53.4,98,0,1,4168,1
5266,303.5,312.9,1883,23.3,100,0,2,8574,1
5267,303.4,312.8,1518,38.7,103,0,2,8575,1
5268,303.5,312.9,1438,42.8,106,0,2,8576,1
5269,303.4,312.9,1389,54.1,109,0,1,4169,1
5270,303.5,312.9,1504,44.8,111,0,1,4170,1
5271,303.5,312.9,1275,64.4,113,0,1,4171,1
5272,303.6,313.0,1534,39.7,115,0,1,4172,1
5273,303.6,313.0,1396,38.2,117,0,2,8577,1
5274,303.6,313.1,1395,44.1,120,0,1,4173,1
5275,303.6,313.0,1617,30.9,122,0,1,4174,1
5276,303.7,313.1,1423,41.2,124,0,1,4175,1
5277,303.5,313.0,1606,34.0,126,0,1,4176,1
5278,303.5,312.9,1501,44.0,128,0,1,4177,1
5279,303.5,312.9,1618,30.4,130,0,2,8578,1
5280,303.6,313.0,1522,35.8,133,0,1,4178,1
5281,303.6,312.9,1480,41.4,135,0,1,4179,1
5282,303.7,313.0,1469,39.9,137,0,2,8579,1
5283,303.8,313.2,1381,52.4,140,0,0,528,1
5284,303.8,313.2,1525,41.9,145,0,1,4180,1
5285,303.8,313.2,1732,29.6,147,0,2,8580,1
5286,303.8,313.1,1523,39.8,150,0,1,4181,1
5287,303.8,313.1,1422,42.4,152,0,1,4182,1
5288,303.8,313.2,1506,46.9,154,0,0,529,1
5289,303.8,313.2,1531,39.4,159,0,1,4183,1
5290,303.9,313.3,1507,34.3,161,0,2,8581,1
5291,303.9,313.3,1526,40.7,164,0,1,4184,1
5292,303.8,313.3,1406,52.1,166,0,1,4185,1
5293,303.9,313.3,1567,35.0,168,0,2,8582,1
5294,303.9,313.4,1464,49.1,171,0,2,8583,1
5295,303.9,313.4,1442,48.5,174,0,1,4186,1
5296,303.8,313.2,1336,47.8,176,0,1,4187,1
5297,303.8,313.2,1379,50.2,178,0,0,530,1
5298,303.7,313.1,1406,48.6,183,0,1,4188,1
5299,303.7,313.1,2130,18.1,185,0,2,8584,1
5300,303.7,313.1,1355,49.1,188,0,1,4189,1
5301,303.8,313.2,1710,26.5,190,0,2,8585,1
5302,303.8,313.1,1309,55.8,193,0,1,4190,1
